iter	Passed	Remaining
0	0	732
1	1	709
2	2	699
3	2	740
4	3	748
5	4	738
6	5	747
7	5	736
8	6	741
9	7	740
10	8	734
11	8	730
12	9	726
13	10	724
14	10	721
15	11	717
16	12	716
17	13	714
18	13	709
19	14	703
20	14	698
21	15	699
22	16	696
23	17	694
24	17	695
25	18	690
26	19	686
27	19	683
28	20	683
29	21	683
30	21	681
31	22	679
32	23	678
33	23	677
34	24	675
35	25	674
36	25	673
37	26	672
38	27	671
39	27	670
40	28	666
41	29	666
42	29	664
43	30	661
44	31	663
45	32	674
46	33	672
47	33	673
48	34	673
49	35	671
50	35	668
51	36	668
52	37	668
53	38	666
54	38	665
55	39	664
56	40	664
57	40	665
58	41	663
59	42	662
60	42	659
61	43	658
62	44	661
63	45	661
64	46	663
65	46	664
66	47	664
67	48	660
68	48	660
69	49	660
70	50	660
71	51	660
72	52	660
73	52	660
74	53	659
75	54	659
76	54	657
77	55	657
78	56	656
79	57	655
80	57	654
81	58	653
82	59	652
83	59	651
84	60	648
85	60	648
86	61	644
87	62	643
88	62	642
89	63	642
90	64	640
91	64	639
92	65	637
93	66	637
94	66	634
95	67	632
96	67	630
97	68	628
98	68	626
99	69	624
100	70	623
101	70	619
102	70	617
103	71	615
104	71	613
105	72	611
106	73	611
107	73	609
108	74	608
109	75	607
110	75	606
111	76	604
112	76	602
113	77	601
114	77	600
115	78	597
116	78	595
117	79	593
118	79	591
119	80	590
120	81	588
121	81	587
122	81	583
123	82	581
124	82	580
125	83	579
126	84	578
127	84	576
128	85	574
129	85	573
130	86	572
131	86	571
132	87	569
133	88	568
134	88	568
135	89	567
136	90	567
137	90	565
138	91	564
139	91	563
140	92	562
141	92	561
142	93	560
143	94	559
144	94	557
145	95	556
146	95	555
147	96	554
148	96	552
149	97	551
150	97	549
151	98	548
152	98	547
153	99	545
154	99	545
155	100	544
156	101	543
157	101	542
158	102	542
159	103	541
160	103	539
161	104	538
162	104	538
163	105	537
164	105	536
165	106	534
166	107	533
167	107	532
168	108	532
169	108	530
170	109	529
171	109	528
172	110	527
173	110	526
174	111	525
175	112	524
176	112	523
177	113	522
178	113	521
179	114	520
180	114	518
181	115	517
182	115	516
183	116	515
184	117	515
185	117	514
186	118	513
187	118	512
188	119	512
189	119	511
190	120	510
191	120	509
192	121	508
193	122	507
194	122	506
195	123	505
196	123	504
197	124	503
198	124	502
199	125	501
200	125	500
201	126	499
202	127	498
203	127	497
204	128	496
205	128	495
206	129	494
207	129	494
208	130	493
209	130	492
210	131	491
211	131	490
212	132	489
213	133	488
214	133	487
215	134	486
216	134	486
217	135	485
218	135	484
219	136	483
220	137	482
221	137	481
222	138	481
223	138	480
224	139	479
225	139	478
226	140	477
227	140	476
228	141	475
229	141	475
230	142	474
231	142	473
232	143	472
233	143	471
234	144	470
235	145	469
236	145	468
237	146	468
238	146	467
239	147	466
240	148	466
241	148	465
242	149	464
243	149	463
244	150	462
245	150	462
246	151	461
247	151	460
248	152	459
249	152	458
250	153	458
251	154	457
252	154	456
253	155	455
254	155	454
255	156	454
256	156	453
257	157	452
258	157	451
259	158	450
260	158	450
261	159	449
262	160	448
263	160	448
264	161	447
265	162	447
266	162	446
267	163	445
268	163	444
269	164	444
270	164	443
271	165	442
272	165	441
273	166	440
274	166	440
275	167	439
276	167	438
277	168	437
278	169	436
279	169	436
280	170	437
281	171	436
282	172	436
283	172	435
284	173	434
285	173	433
286	174	432
287	174	432
288	175	431
289	175	430
290	176	429
291	177	429
292	177	428
293	178	427
294	178	426
295	179	426
296	179	425
297	180	424
298	180	423
299	181	422
300	181	422
301	182	421
302	182	420
303	183	420
